country,total_cases,total_deaths,total_recovered,active_cases,total_test,population
Guatemala,0.011783925610960852,0.01774682572257014,0.011888195447146194,0.0002923501942640563,0.005826609408717997,0.013211729833693163
Bolivia,0.01140131329874291,0.019723991226328078,0.011311799886578319,0.001780122341526017,0.0023325968038188033,0.00852579630619691
Costa Rica,0.011383942333154467,0.008083429322953214,0.00849474331926881,0.02887957929327947,0.004017611405825892,0.0036842292975471642
Tunisia,0.011040169964437315,0.025869092225061455,0.0,0.0,0.004308701669199993,0.00856418588399641
Cuba,0.01067626263118726,0.007529116851363935,0.010893887938071655,9.95195851804564e-06,0.012328053226029166,0.008037392722741961
Ecuador,0.01008892245270817,0.03172467970360171,0.009984743904428441,0.00033005807378655953,0.0026576273076368458,0.012877116320739224
UAE,0.010071359542748584,0.002072493126260553,0.01019252541425063,0.0013079977773350626,0.17126505365520917,0.007167323511394925
Uruguay,0.009911095590062717,0.006716184070577747,0.010105713740836105,0.00010609335594467004,0.00527215874385619,0.0024853810781536047
Panama,0.00988221755942425,0.0075873726206710885,0.01006887108771464,8.208083218094523e-05,0.006444908938455596,0.0031614272305476483
Mongolia,0.009672710278321641,0.0019233230503073874,0.009925290343645234,3.104280638656438e-06,0.003474680506049097,0.002401536818403283
Nepal,0.009607746705908285,0.01060961131927251,0.009761516706919379,1.6434426910534084e-06,0.005176560471788535,0.021487913550447192
Belarus,0.009539942356802012,0.006282796453459378,0.009727249979987225,0.00012115824727932628,0.011766042850048028,0.006705948323465145
Latvia,0.009360647119717317,0.00548839959927092,0.00956181827582917,2.802982811963313e-05,0.006775390228507262,0.0013143717009276492
Saudi Arabia,0.007946084284923147,0.008450617202222547,0.00804881200504775,0.00026112478313404156,0.03884009203710322,0.025482794866138442
Azerbaijan,0.007945911534989117,0.008901658082767326,0.008069794453624293,1.871698620366382e-05,0.006455715669656519,0.007322602244412826
Paraguay,0.007737767058921624,0.017494384055572472,0.0,0.0,0.002291283948208188,0.005193856078507926
Bahrain,0.00672234294670081,0.0013619492733475441,0.00689282318243561,4.647290720812138e-05,0.009210331967202659,0.0012682658179904503
Sri Lanka,0.006449177314908619,0.014853455846981512,0.006466048468725873,2.739071151755681e-07,0.005592286816398627,0.015338656760161232
